circularity;homogenity;energy;contrast;correlation;chromaticity;entropy;group
0.9960410697428774;0.13026715624721436;0.012932561517473101;220.70639579311563;0.9458201269444392;130.6899009256128;4.670061623856314;generated
0.9914225878154628;0.11419016135439092;0.01028006231424526;431.12588502592223;0.9419889421576029;85.49468281839222;6.454326812479898;generated
0.8873221678189421;0.20209413700227954;0.021402011458463658;269.6283901587385;0.9731326228706454;112.38531675547661;5.114401597013192;real
0.9961616909982728;0.12139482116108763;0.013350011771778806;203.20667958281769;0.94811041983039;125.24491816646281;5.453983817117542;generated
0.9873830979559697;0.13719205441833796;0.015248514738652814;382.698738842631;0.9549006304985598;120.52671047293043;5.525590152252667;real
0.9906747807410059;0.13588211264817923;0.013690563696641381;180.04350114011052;0.9580514311234929;116.98271694158883;6.442445069067271;generated
0.9930029318899415;0.17056555427478856;0.01489246827628193;227.56582805226248;0.954168310891621;103.68459961730422;4.650265291930034;generated
0.9879582769943983;0.12386614279743173;0.012438306439151862;276.5150326526829;0.9254294515229392;98.32889380721299;6.073286462794686;real
0.9419928092151968;0.08607455487590325;0.00951403120918403;502.90332517956875;0.9036463441733857;93.11268861120566;4.572491249303645;real
0.9504569599211832;0.14345772207973578;0.012672053269449389;535.735296123743;0.9037787474430933;151.63076024998284;6.348089973431681;real
